TWEETS Data	positiveword1	positiveword2	negativeword1	Nword2	nword3	NEGtopos	postoneg	POSadj1	posadj2	label	Word_Count
"شامی|ADJ صاحب|NN تو|SC ایڈیٹر|NN اور|CC تجزیہ|NN نگار|NN ہیںمیں|AA رپورٹر|NN ہوں|TA جو|REP اینٹ|NN اٹھاتا|VB ہوں|TA بڑے|ADJ بڑے|ADJ کرپشن|NN سکینڈل|NN نکلتےتو|UNK میں|P جذباتی|ADJ کیوں|QW نہ|NEG|ہوں:رؤف|UNK کلاسرا"""",|UNK"	0	0	2	2	0	1	0	2	0	0	24
اسلام|NN آباد:|UNK مولانا|PN فضل|PN الرحمان|PN پر|P حملے|NN کے|P خلاف|NN کل|Q ملک|NN بھر|VB میں|P یوم|PN مذمت|NN منایا|VB جائے|AA گا،|UNK علامہ|NN محمد|PN احمد|PN لدھیانوی|PN	1	0	2	2	0	0	0	0	0	0	22
حنیف|ADJ محمد|NN کے|P پوتے|NN شہزر|UNK محمد|NN نے|P پاکستان|PN کرکٹ|NN میں|P پی|VB آئی|VB اے|PN کی|P طرف|NN سے|SE سنچری|PN بنا|VB کر|VB ریکارڈ|NN بک|NN میں|P اپنا|GR نام|NN منفرد|ADJ تعارف|NN کے|P طو|NN پر|P درج|ADJ کرا|VB دیا,|UNK	1	1	0	0	0	0	0	1	0	1	32
تمام|Q اہل|ADJ اسلام|NN کو|P نیا|ADJ اسلامی|PN سال|NN مبارک|ADJ ہو|VB .الله|UNK پاک|ADJ یہ|PD سال|NN ہمارے|G لیئے|ADV رحمتوں|NN اور|CC برکتوں|NN کا|P باعث|NN بنائے|VB ہمارے|G حال.|UNK	1	1	0	0	0	0	0	1	1	1	23
ریالٹی|PN تو|SC یہ|PP ہے|VB ہمارے|G دونوں|OR انقلابی|ADJ گو|SC نواز|NN گو|SC اور|CC جلسوں|NN کو|P اپنی|GR کامیابی|NN قرار|NN دے|VB رہے|AA ہیں|TA .یہ|UNK دونوں|OR کام|NN تو|SC ان|PP دھرنوں|NNکے|P بغیر|NN بھی|I ہو|VB سکتے|AA تھے|TA	1	1	2	2	0	0	0	1	0	1	30
وہ|PP جو|REP بیچتے|VB تھے|TA دوائے|ADJ دل،،،|UNK وہ|PP دکان|NN اپنی|GR بڑھا|VB گئے.|UNK شاہراہ|NN دستور|NN سے|SE عوامی|ADJ تحریک|NN کے|P کارکنوں|NN کی|P واپسی،،|UNK سی|A ڈی|PN اے|PN نے|P صفائی|NN مہم|NN شروع|NN کردی|VB	1	0	0	0	0	0	0	0	0	1	28
لاہوریوں|PN نے|P اجتماع|NN عام|ADJ کے|P لیے|ADV دل|NN کے|P دروزے|NN کھول|VB دیے۔|UNK ڈونرز|PN کانفرنس|NN میں|P ڈیڑھ|PN کروڑ|NN سے|SE زائد|ADJ رقم|NN جمع|ADJ کروا|VB دی|VB	1	1	0	0	0	0	0	1	2	1	22
| سائن|NN آوٹ|NN کرو|VB اور|CC کوئی|Q اچھی|ADJ سی|A کتاب|NN پڑھو۔آپ|UNK زیادہ|ADV آوٹنگ|NN نہیں|NEG کرتے|VB شائد۔|UNK ٹویٹر|NN سے|SE باھر|ADV بھی|I نکلا|VB کرو|VB ۔|SM	1	1	0	0	0	0	2	1	0	1	22
ہر|Q کچھ|Q عرصے|NN بعد|NN انقلاب|NN کے|P نام|NN پر|P یہ|PP ناٹک|NN اس|PD خوف|NN کے|P پیش|NN نظر|NN رچایا|VB جاتا|AA ہے|TA کہ|SC عوام|NN کہیں|AKP حقیقی|ADJ انقلاب|NN کے|P لئے|NN ہی|I کھڑے|ADJ|نہNEG ہو|VB جائیں۔|UNK	0	0	2	2	0	0	2	0	0	0	29
| استعفیٰ|NN کی|P بعد|NN تو|SC ہم|PP پارلیمنٹ|NN سے|SE ہی|I باہر|NN ہو|VB جائیں|AA گے|TA قادری|NN کی|P طرح|NN ہمیں|PP شرپسند|ADJ عناصر|NN کہا|VB جائے|AA گا,|UNK	0	0	2	2	0	0	0	0	0	0	22
فقیر|NN وہ|PP ہےجو|PN اپنی|GR غلطیوں|NN پر|P اپنا|GR احتساب|NN کرے|VB اور|CC دوسروں|PP کی|P اچھائیوں|NN پر|P نظر|NN ??کھے|UNK نا|ADV کے|P دوسروں|PP کو|P گالیاں|NN دے|VB اور|CC خود|RP کو|P فرشتہ|NN سمجھے|VB	1	1	2	2	0	0	0	0	0	2	27
فقیری|NN اچھی|ADJ پروہ|NN جوآپ|NN کولوگوں|NN سےبےنیاز|NN کردے|NN نا|ADV کے|P وہ|PP فقیری|NN جس|REP میں|P آپ|PP لوگوں|NN کی|P نیاز|NN کے|P ہوں|TA محتاج|NN اور|CC ہاتھ|NN پھیلاتے|VB پھریں|AA سب|کے|P سامنے|NN	1	0	2	2	0	0	2	1	0	0	26
خدا|NN کے|P لیے|ADV کوئی|Q Candy|VB Crush|PN Saga|PN گیم|NN کھیلنے|VB کے|P لئے|NN جو|REP لوگ|NN مجھ|PP کو|P انوائیٹ|NN کرتے|VB ہیں|TA ان|PP سے|SE جان|PN چھڑوائے|VB خدا|NN لئے|NN	1	1	0	0	0	0	0	0	0	1	24
ساحر|NN لدھانیوی|UNK ،|PM عصمت|NN چغتائی|NN ،|PM راجندر|PN سنگھ|PN بیدی|NN ،|PM علی|PN سردار|NN جعفری|PN اور|CC دیگر|NN ترقی|NN پسند|NN ادیب|NN ساحل|NN سمندر|NN پر|P اکٹھے|ADJ ہیں|TA	1	1	0	0	0	0	0	0	0	1	23
میں|P تحریک|NN انصاف|NN اور|CC عوامی|ADJ تحریک|NN کے|P کارکنوں|NN سے|SE کہتا|VB ہوں|TA کہ|SC اگر|SC ہم|PP سے|SE کوئی|Q سے|SE کوئی|Q بھی|I پیچھے|NN ہٹے|VB اسے|PP چھوڑدینا،|UNK اگر|SC	0	0	2	2	0	0	0	0	0	0	24
دولت|NN واقعی|ADV آزمائش|NN ھے۔|UNK اساتذہ|NN اور|CC تحقیق|NN کرنے|VB والوں|WALA کیلئے|AA ھمارا|PN بجٹ|NN صرف|ADV 10|CA ھزار|NN ھوتا|VB ھے|AA جبکہ|SC ساوںڈ|UNK سسٹم|NN والے|WALA ڈی|PN جے|PNکیلئےستائیس|UNK لاکھ|NN	0	0	0	0	0	0	0	2	0	0	24
:|PM ایم|PN کیو|PN ایم|PN کو|P منانے|VB کی|P کوئی|Q کوشش|NN نہیں|NEG کی،رحمان|UNK ملک|NN گویا|SC اس|PD بار|NN خود|RP ہی|I ذلیل|NN ہو|VB کہ|SC واپس|ADJ آ|VB جاویں|NN گےجیسے|AA طاھرکینیڈوی|UNKذلیل|NN و|CC رسوا|VB ہو|VB کہ|SC آ|VB گئے,P|UNK	1	0	2	2	0	0	1	0	0	0	31
|PN اپنے|GR باپ|NN شوبازشریف|UNK کو|P بول|VB پہلے|NN وہ|PP پنجاب|NN کو|P بچالے|VB اور|CC تو|I اپنی|GR بجلی|NN پر|P توجہ|NN دے.|UNK ماما|NN نا|ADV بن|VB KPK|NN کا.جعلی|UNK معزز|ADJ بهڑوے|UNKسالے|NN	0	0	2	2	0	0	0	0	0	0	25
اج|NN بهت|ADV سے|SE لوگو|NN کو|P طاهر|PN القادری|PN کا|P فیصله|NN سمج|NN نهی|NEG ایا،|UNK کل|Q پهر|NN انهی|PN لوگو|NN کا|P کهنا|VB هو|PN گا|TA طاهر|PN القادری|PN ڻهیک|UNK کهتے|VB تهے.|UNK	0	0	0	0	0	0	0	0	0	2	25
مذہب|NN کی|P چادر|NN میں|P بدنما|ADJ داغ|NN ہیں۔|UNK ان|PP بدنما|ADJ داغوں|NN کو|P دیکھنے|VB کے|P لیے|ADV عقیدت|NN کی|P عینک|NN کو|P اتارنا|VB پڑتا|AA ہے۔|UNK ہم|PP اکثر|ADV سمجھتے.|UNK	0	0	2	2	0	0	0	2	0	0	24
آپ|PP میں|P سےوہ|NN جنہوں|REP نے|P جنرل|PN ضیاع|NN ال|PN یک|CA کا|P دور|NN دیکھا|VB ہے،|UNK جان|PN سکتےہیں|AA کہ|SC ہم|PP لوگ|NN کس|KP کرب|NN سے|SE گزرے|VB ہوں|TA گےپچھلی|UNK دو|CA ٹویٹس|ملاحظہ|ADJ ہوںNN	0	0	2	0	0	0	0	0	0	0	27
مذہبی|ADJ امور|NN کے|P وزیر|NN سردار|NN محمد|PN یوسف|PN اور|CC رکن|NN قومی|ADJ اسمبلی|NN محمد|PN صفدر|NN نے|P اسلام|NN آباد|ADJ میں|P وزیراعظم|NN محمد|PN نواز|NN شریف|ADJ سے|SE ملاقات|NN کی,	0	0	0	0	0	0	0	0	0	2	24
پاکستان|PN کی|P قومی|ADJ کرکٹ|PN ٹیم|NN کے|P سابق|ADJ کپتان|NN شعیب|ADJ ملک|NN کا|P باوٴلنگ|UNK ایکشن|NN بھی|I مشکوک|ADJ قرار|NN دے|VB دیا|AA گیا،|UNK روزنامہ|ADJ اُردو|PN پوائنٹ|NN	0	0	2	0	0	0	0	0	2	0	22
مجھے|PP #سیدناعمرفاروق|UNK رضی|PN اللہ|NN عنہ|NN سے|SE محبت|NN اس|PD وجہ|NN سے|SE بھی|I ہے|TA کہ|SC میں|PP نے|P دیکھا|VB کہ|SC آدھی|FR دنیا|NN کا|P حکمران|NN سر|NN کے|P نیچے|NN اینٹ|NN رکھے|VB درخت|NN کےسائے|NN تلے|NN سویاہے,P|UNK	1	0	0	0	0	0	0	0	0	1	30
اووووووئے|UNK پاکستانیوں|NN دس|CA بیس|CA روپے|NN چندہ|NN دو|CA مجھے،|UNK تمہارے|G لئے|NN دھرنے|VB دے|VB رہا|AA ہوں!|UNK اگر|SC آ|VB نہیں|NEG سکتے،|UNK چندہ|NN تو|I دے|VB سکتے|AA ہو|VB ناں!!!!#چندے_سے_انقلاب	0	0	2	2	0	0	2	0	0	1	24
لوگوں|NN پر|P ایک|CA ایسا|PP زمانہ|NN آنے|VB والا|WALA ہے|TA کہ|SC جس|REP میں|P آدمی|NN کو|P پرواہ|NN نہیں|NEG ہوگی|VB کہ|SC جو|REP وہ|PP لے|VB رہا|AA ہے|VB آیا|VB کہ|SC حلال|NN ہے|TA یا|حرامCC(صحیح|UNK بخاری),|UNK	1	0	2	0	0	0	2	0	0	0	28
عمران|NN اگر|SC اپنے|GR بچوں|NN کی|P صحیح|ADJ تعداد|NN بتا|VB دے|VB اور|CC اپنا|GR ڈوب|VB ٹیسٹ|NN که|PN وه|PN نشئی|NN نھیں|NN ھے|AA وه|PN چیک|NN کروا|VB تو|SC شاید|ADV کچھ|Q اور|CC لوگ|NN اس|PPی|P حمایت|NN کردیں|VB	1	0	2	0	0	1	0	0	0	1	29
کوئی|Q بھوک|NN سے|SE مر|VB گیا|AA اور|CC کسی|KD نے|P خودکشی|ADJ کر|VB لی|AA تو|SC کیا|VB ہوا|VB غریب|ADJ تو|SC مرتے|VB ہی|I رهتے|AA ہیںکسی|AA کو|P انقلاب|NN کی|P فکر|NN ہے|TA اور|CC کسی|KD کو|Pحکومت|NN 	0	0	2	2	2	0	0	1	0	0	28
| اچھا|ADJ اچھا|ADJ صدر|NN میں|P گھوم|VB رہیں|AA وہاں|AP میرے|G پُھپُھا|UNK کی|P دُکان|NN تھی|TA لائف|PN بُکس|PN SEسے|کے|P نام|NN سے|SE اور|CC کراچی|PN کمپنی|NN میں|P فاران|PN بُکس|PN کے|P نام|NN	0	0	0	0	0	0	0	1	1	1	26
ملک|NN میں|P مذہب|NN کے|P نام|NN پر|P فرقہ|NN واریت|NN کی|P آگ|NN بھڑکائی|VB جا|AA رہی|AA ہے|VB جس|REP سے|SE ملک|NN کھوکھلا|VB ہو|VB رہا|AA ہے|TA :|PM طارق|NN جمیل,|UNK	0	0	2	2	2	0	0	0	0	0	24
اسلام|NN آباد|ADJ دھرنا|VB ختم|ADJ کرنے|VB پر|P ایک|CA ایسی|AD پارٹی|NN کے|P کارکنان|NN بھی|I زہر|NN اگل|VB رہے|AA ہیں|VB جن|REP کے|P سربراہ|NN پہلے|NN دن|NN سے|SE ہی|I دن|NN رات..|UNK	0	0	2	2	0	0	0	0	0	0	25
| کرکٹ|NN کی|P اس|PD بیکار|ADJ ٹیم|NN پر|P کیوں|QW پاکستان|PN کا|P قیمتی|ADJ زرمبادلہ|NN خرچ|NN کیا|VB جا|AA رہا|AA ہے|VB یہ|PP کبھی|AKP نہیں|NEG جیت|VB سکتے..|UNK ان|PP کو|P دفع|NN کرو|VB	1	0	2	0	0	0	0	2	0	0	26
دیکھو|VB نعرے|NN مت|ADV مارو|PN اس|PD نشئی|NN عمران|NN کا|P ذریعه|NN معاش|NN بتادواگر|UNK تمھیں|NN پته|NN ھےتو|UNK میں|P اس|PD لاکھ|NN درجے|NN خود|RP دار|NN ھوں|NN اپنی|GR کھاتا|VB ھوں|NN	1	1	0	2	0	0	0	0	0	1	24
"آپ|PP صلی|PN الله|PN علیہ|PN وسلم|PN نےفرمایا|PN اگرجھک|UNK جانے|VB (|PN عاجزی|NN اختیار|NN کرنے)|UNK سے|SE تمہاری|G عزت|NN گھٹ|VB جاۓ|AA تو|SC قیامت|NN کےدن|PN مجھ|PP سےلےلینا""(|UNK صحیح|ADJ مسلم|PN حدیث|,|UNK"	1	1	2	2	0	0	0	1	0	1	25
":|PM نوازشریف|NN کے|P استعفے|NN کے|P بغیر|NN کنٹینر|NN سے|SE نہیں|NEG نکلوں|VB گا|TA -|PM عمران|NN خان|NN (جھوٹے|UNK ہر|Q روز|NN نکلتا|VB ہے|TA بنی|VB گالا|VB بھی|I جاتا|AA ہے|TA :پ)"",N|UNK"	0	0	2	2	0	2	0	0	0	0	25
دبئی|ADJ ٹیسٹ|NN یونس|PN خان|NN کےنام|NN ٹیسٹ|NN کےدونوں|NN اننگز|NN میں|P سنچری|PN لگاکر|PN پاکستان|PN کی|P تاریخ|NN میں|P سب|Q سے|SE زیادہ|ADV سنچریاں|NN بنانےوالےکھلاڑی|UNK بن|VB گئے,|UNK	1	1	0	0	0	0	0	1	0	1	22
قرآن|PN و|CC سنت|NN کی|P روشنی|NN میں|P لفظ|NN مہاجر|NN کی|P بے|PN حرمتی|PN پر|P فتویٰ|NN جاری|ADJ کیاجائے|VB گا|TA ،|PM احتجاجی|ADJ پروگرام|NN کا|P انعقاد|NN اور|CC بھوک|NN ہڑتال|NN کی|VB جائے|AA گی,N|UNK	0	0	2	2	0	0	0	1	0	0	27
میرا|G کپتان|NN نہی|NEG بولا|VB تو|SC ہمیں|PP بھی|I PAT|NN کے|P دوستو|PN کو|P کچھ|Q نہی|NEG بولنا۔ہمیں|UNK اپنے|GR راستے|NN پر|P چلنا|VB ہے|TA اور|CC منزل|NN کی|P جانب|NN بڑھنا|VB ہے۔انشااللہ|UNK نیا|ADJ پاکستان|PN ,P|UNK	1	0	0	0	0	2	1	0	0	1	28
عوام|NN کو|P مصروف|ADJ رکھو|VB بیوقوف|ADJ بناتے|VB رہو|NN اور|CC ملک|NN لوٹتے|VB رہوصوبے|UNK کا|P ڈرامہ|NN رچا|VB تے|NN رہو|VB کراچی|PN کے|P عوام|NN کو|P بیوقوف|ADJ بنا|VB تے...|UNK ,N|UNK	0	0	2	2	2	0	0	0	0	0	24
اس|PD بات|NN کو|P ماننے|VB میں|P کوئی|Q تعامل|NN نہیں|NEG کہ|SC ہم|PP اپنے|GR مقصد|NN میں|P |UNK کامیاب|ADJ نہیں|NEG ہوئے.|UNK مگر|SC ہم|PP نے|P اس|PD نظام|NN پر|P کاری|NN ضرب|NN ضرور…|UNKمجبوراً|ADV سپورٹ|NN کرے|VB گی	1	1	0	2	2	1	2	2	0	0	29
اب|AP دامن|NN حیات|NN میں|P کچھ|Q بھی|I نہیں|NEG رہافردا|UNK کی|P سرد|ADJ آگ|NN میں|P حالات|NN جل|VB گئےکلیات|UNK چٹک|VB رہی|AA ہیں|TA کہ|SC شاخوں|NN پہ|SC آبلےغنچوں|UNK کی|P مہکتوں|UNK سے|SE میرے|G ہاتھ|NN جل|VB گئے,N|UNK	1	0	2	0	0	0	2	0	0	0	29
مینار|NN پاکستان|PN سے|SE تکمیل|NN تحریک|NN پاکستان|PN کے|P ایجنڈے|NN کولے|NN کر|KER ملک|NN بھرمیں|NN اس|PD تحریک|NN کو|P پھیلائیں|VB گے|TA ۔|SM امیر|ADJ صوبہ|NN ڈاکٹر|NN وسیم.|UNK	1	1	0	0	0	0	0	0	0	1	22
| کچھ|Q بھی|I نھیں|NN ھوگا۔اسکا|UNK نوٹس|NN تو|SC سپر|PN کورٹ|PN کو|P خود|RP لینا|VB چاہیے|AA تھا|TA بھت|NN پھلے۔کوکین|UNK اب|AP گولی|NN کے|P نت|NN نئے|ADJ مزے|NN مدھوشی|NN !!,N|UNK	0	0	2	2	0	0	0	0	0	0	24
| ایک|CA جماعت|NN سندھیوں|NN کے|P جذبات|NN سے|SE کھیل|VB رہی|AA ہے|TA کہ|SC مہاجر|NN قابض|ADJ ہو|VB رہے|AA ہیں|TA جبکہ|SC دوسری|ADJ جماعت|NN مہاجروں|NN کے|P جذبات|NN سے|SE کہ|SC سندھی|PN قابض|ADJ ہو|VB رہے|AA ہیں,N|UNK	0	0	2	2	2	0	0	0	0	0	29
تحریک|NN انصاف|NN کا|P صدرہاشمی|UNK حساس|ADJ وقت|NN پر|P ساتھ|NN چھوڑ|VB جائے|AA تو|SC خان|NN کوفرق|UNK نہیں|NEG پڑا۔|UNK قادری|NN کے|P جانے|VB سے|SE کیوں|QW پڑے|AA گا|TA جو|REP تحریک|NN انصاف|N کا|P ممبر|NN بھی|I نہیں۔,N|UNKN	1	0	2	2	0	0	2	0	0	0	29
دہشت|NN گردی|NN سے|SE بھی|I زیادہ|ADV اموات|NN ہر|Q سال|NN زہریلی|ADJ شراب|NN کی|P وجہ|NN سے|SE ہوتی|VB ہے۔|UNK دہشت|NN گردی|NN اور|CC ’’قدرتی‘‘|UNK آفات|NN کی|P طرح|NN گھٹیا|VB شراب|NN سے|SE بھی|I غریب|ADJ ہی|I مرتا|VB ہے,N|UNK	0	0	2	2	2	0	0	2	0	0	30
4|CA سال|NN بعد|NN مگر|SC انصاف|NN مل|VB گیادہلی|UNK کی|P ایک|CA عدالت|NN نے|P اجتماعی|ADJ ریپ|NN کیس|NN کے|P تمام|Q پانچ|CA قصورواروں|NN کو|P عمر|NN قید|NN کی|P سزا|NN سنائی|VB ہے,P|UNK	1	0	2	2	0	0	0	2	0	1	25
دانشمندی|NN نہیں|NEG ہے|TA کہ|SC آپ|PP وزیراعظم|NN کا|P استعفے|NN مانگتے|VB مانگتے|VB خود|RP اپنے|GR استعفیٰ|NN دیدیں۔|UNK تحریک|NN انصاف|NN اسمبلیوں|NN میں|P بے|PN شک|NN نہ|NEG جائے|AA لیکن|SCاستعفے|NN نہ|NEG دے,N|UNK	1	0	2	0	0	0	2	0	0	0	25
پاکستان|PN تحریک|NN انصاف|NN کا|P 29اکتوبر|UNK کو|P استعفوں|NN کے|P معاملے|NN پر|P بات|NN کرنے|VB کیلئے|AA اسپیکر|NN قومی|ADJ اسمبلی|NN کے|P سامنے|NN پیش|NN ہونے|VB کا|P فیصلہ,O|UNK	0	0	0	0	0	0	0	0	0	2	22
دلالوں|NN کی|P اصلیت|NN اب|AP کسی|KD سے|SE چھپی|VB نہیں|NEG رہی|AA ہے.|UNK کل|Q تک|P جو|REP نظام|NN لپیٹنے|VB کی|P باتیں|NN کر|VB رہے|AA تھے|TA آج|NN کھسیانے|VB ہو|VB کر|KER اسی|PD نظام...|UNK 	0	0	2	2	2	1	0	0	0	0	26
"حضرت|NN #عمرؓ|UNK کے|P زمانہ|NN خلافت|NN میں|P جامع|ADJ مساجد|NN ""|PM کی|P تعداد|NN بارہ|CA ہزار|CA (12،000)|UNK تک|P پہنچ|VB چکی|AA تھی|TA ۔|SM از|P نظام|NN الحکومۃ|ADJ الاسلامیہ|PN ،|PM جِلد|NN دوم|OR ۔"",|UNK"	1	1	0	0	0	0	0	1	0	1	27
| کی|P یہ|PP اچھی|ADJ پالیسی|NN ہےکہ|SC مختلف|ADJ بہانےکرکے|UNK کسی|KD کیس|NN کو|P تاخیرمیں|UNK ڈالتےرہواورعوام|UNK کےسامنےمعصوم|UNK بن|VB کرجھوٹ|UNK بولتےرہو|UNK کہ|SC ہمیں|PP تو|I انصاف|NN نہیں|NEG مل|VB رہا|AA	1	0	0	2	2	0	1	1	2	0	24
اب|AP کے|P برس|NN بہار|NN بصیرت|NN کو|P ڈس|PN گئی|AA فکرو|NN نظر|NN کے|P جھومتے|VB باغات|NN جل|VB گئےساغر|UNK کٹے|VB کٹے|VB ہیں|TA ستارے|NN بجھے|VB بجھے|VB شائد|ADV میرے|G نصیب|NN کے|P دن|NN رات|NN جل|VB گئے,N|UNK	1	0	0	2	2	0	0	0	0	0	29
ڈآکٹر|PN دانش|NN (|PN سوال|NN یہ|PP ہے|TA )|PN اے|PN آر|PN وائی|PN کا|P ٹیوٹر|PN اکائونٹ|NN ہیک|I ہو|VB گیا|AA ہے|VB کوئی|Q بھی|I شخص|NN ان|PP کو|P ٹیوٹ|PN نہ|NEG کر|VB ے|NN اور|CC نہ|NEG ہی.|UNK	0	0	0	0	0	2	0	0	0	0	29
