Length,audio_name,Transcript,negative_count,positive_count,negative_positions,positive_positions,Senti,Total Frame Count,Total Positive Frames,Total Negative Frames,Total Neutral Frames,General Percentage,Negative_Frame_Sentiments,Positive_Frame_Sentiments
38.36,@AIGuru_N.wav,اعوذ باللہ من الشیطان الرجیم بسم اللہ الرحمن الرحیم یہ قدرت کا ایک عجب تماشہ ہے سیاروں اور ستاروں کی چال اور رفتار سے لے کر ایک معمولی سی حقیر چیونٹی تک ہر شے اپنے اندر ایک پیغام رکھتی ہے ہر شے میں اشارہ ایک استعارہ ایک علامت ہے اور ہم سب کا المیہ زندگی میں یہ ہوا کرتا ہے کہ سفر ہمارا زمین کا ہے لیکن حکم اسمانوں کا جہاں بھی جائیں اسمان تو سر پہ رہتا ہے,6,1,"[10, 14, 15, 23, 26, 33]",[28],2,38,13,23,1,"(2, 60.526315789473685)","[9, 0, 9, 0, 0, 0]",[1]
86.68,@AIGuru2_N.wav,عثمان بلکہ رہتا نہیں شاید سر پہ سوار رہتا ہے ہم چلتے چلتے رک جاتے ہیں اور کبھی چل رہے ہوتے ہیں تو راستہ رک جاتا ہے گردش افلاک ہمیں اسمان سے کوئی نہیں بچا سکتا ہم اپنی زندگی میں اکثر سوچتے وقت اسمانوں کی طرف دیکھتے ہیں اسی طرح دیکھ کر ہم دعائیں کرتے ہیں چاند تلاش کرتے ہیں سورج کو دیکھتے ہیں ستارے ڈھونڈتے ہیں بارشوں کا انتظار کرتے ہیں بادل دیکھتے ہیں ہوائیں چل رہی ہیں گرمی سے شرابور ہوتے ہیں تو پھر اسمان کی طرف دیکھتے ہیں برف باریوں کا نظارہ کرتے ہیں کاوز و قضا دیکھتے ہیں کبھی یہ سوچتے ہیں کہ ہم تو اندھیروں میں کھو گئے ہیں اور وہ روشنی کے خزانے لیے بیٹھے ہیں اسمان ہمارے پاس صرف ایک ٹمٹماتا ہوا چراغ ایک دیا اور اس وسیع اسمان پر سورج چاند ستارے اندھیرا روشنی دن رات ہوا بارش یہ سب تو اس کے پاس ہے حکم بھی فیصلے بھی زمین نے شاید ہمارے پیر پکڑ رکھیں اور اسمان ہمیں چابک مارتا رہتا ہے ہر روز کسی نہ کسی صورت میں بارشیں ہوں ہوا ہوں موسم ہو دھوپ ہو سردی ہو ہم اسمانوں کو اپنی زندگی میں,11,3,"[2, 6, 11, 15, 33, 52, 56, 63, 65, 78, 84]","[58, 65, 81]",1,86,40,38,8,"(1, 46.51162790697674)","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]"
81.55,@AIGuru _N.wav,تو پھر جواب اور حکم اسمانوں سے اتے ہیں لیکن ہم اسمانوں کو کوستے ہیں خود کو نہیں استعمال ہاکنگ ہمارے دور کا عہد حاضر کا وہ مایہ ناز سائنسدان سائنس جس نے تمام زندگی بدترین معذوری کے ساتھ اپنی گزاری اور پچھلے سال یعنی مارچ 2018 میں 76 سال کی عمر میں اس کا انتقال ہوا ساری دنیا سے جانتی ہے 21 سال کا وہ تھا جب اسے ایم ائی مائیو ٹرافک لیٹرل اسکلوروسس یہ بہت ہی کم لوگوں کو بہت رئیر بیماری ہے یہ اس کی تشویش ہوئی اور وہ اس کے جسم کے جو اعضاء تھے جو نروز تھی اور اس کا دماغ وہ ضائع ہوتا گیا کہ زندگی اس کی صرف دو سال رہ گئی ہے اس کی گفتگو اس کا بولنا چلنا اہستہ اہستہ کم ہوتا گیا وہ پڑھتا تھا یونیورسٹی میں پھر اس کے اذان نے اس کی انگلیوں نے اس کے ہاتھ پیر نے کام کرنا چھوڑ دیا پھر وہ چلنے پھرنے سے بھی معذور ہو گیا اور پھر وہ ویل چیئر پر چلا گیا ایک جگہ اس کی گردن ڈھلک گئی باقی ساری زندگی وہ اسی طرح بیٹھا رہا اس ویل چیئر پہ,12,1,"[4, 8, 15, 24, 34, 36, 38, 46, 49, 56, 65, 69]",[24],2,81,9,70,2,"(2, 86.41975308641975)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0]
70.26,@AIGuru4_N.wav,کئی سال تک وہ اسی طرح اس ویل چیئر پر بیٹھ کے تحقیق کرتا رہا اور اس کا طریقہ یہ ہوتا تھا تحقیق کا کہ خاص کمپیوٹر اس زمانے میں ایجاد ہوئے انگلیاں استعمال کرتا تھا تو کمپیوٹر پے لکھا تھا وہ پندرہ ورڈز شاید ایک منٹ میں اس طرح سے کمپیوٹر اس کا بنا تھا شروع میں پھر وہ انکھوں کے اشاروں سے اس کی کمپیوٹر ایسے بنائے گئے کہ وہ انکھوں کا اشارہ اس کا سمجھتے تھے اور وہ ان سے لکھتا تھا پھر وہ انکھیں بھی اس کی جو تھی وہ اشارے دینے سے قاصر ہو گئیں معذور ہو گئیں ایسے کمپیوٹر بنائے گئے اس کے لئے جو اس کی ذہن کی لہروں سے کمپیوٹرز اس کو ان کو ریڈ کرتے ہیں اس کا خیالات کو پڑھتے اور پھر ان کو تحریری شکل میں لے کر اتے اور اخر میں جب کمپیوٹر اس کا ذہن پڑھ رہا تھا میں نے اس سے پہلے تو ایک لفظ اس کے ذہن میں جو اتا وہ کمپیوٹر اس کو ایک منٹ میں کہیں جا کے اس کو سمجھ پاتا 1 منٹ کے اندر اور زندگی کے اخری سانس تک دنیا کے بہترین کمپیوٹرز بڑے بڑے کمپنیز اس کا خیال اس کی سوچ پڑھنے کی کوشش کرتی رہی کہ وہ کیا سوچ رہا ہے,2,1,"[32, 33]",[63],2,70,17,47,6,"(2, 67.14285714285714)","[0, 9]",[0]
85.75,@MobileNG.wav,اوکے گھر میں نہ پیسہ کا پیڑ لگا ہوا ہے ایسا ہلاتے ہیں اور پیسہ گرتا ہے ابھی پیسہ سے فون میں خرید لیتا ہے تو بھائی صاحب میں اپ کو اس کی 10 پروبلم کے بارے میں بتانے والا ہوں جو کہ بھائی چھوٹی سی بڑی پرابلم ہے اور اپ کو دھیان دینا ہے بھائی ان پہ کیوں کہ پیسہ لگ رہا ہے بھائی اپ کا سب سے پہلے ہم بات کرتے ہیں بھائی اس کی کچھ ہائی لائٹنگ پوائنٹ کی جو کہ سمسنگ والے کافی زیادہ ہائی لائٹ کر رہا ہے اس کے بعد ہم بات کریں گے کہ اپ کو اس والے فون میں کیا کمیاں دیکھنے کو ملتی ہے اگر میں بات کروں اس کی بھائی بلڈنگ ڈیزائن کی خطرناک ہے بھائی اس کا جو ڈیزائن ہے وہی میرے کو کافی پرسنلی اچھا لگا بھائی حالانکہ جو بلڈ ہے وہ پلاسٹک بلڈ کے ساتھ اتا ہے اور اپ کو واکسی ٹائپ کا ڈیزائن بھی مل جاتا ہے بھائی یہاں پے میرے کو لگتا ہے کہ ڈیزائن کو ہی لوگ دیکھ کر فون کو لیں گے اس کی دوسرے ہائی لائٹ پوائنٹ کی تو بھائی صاحب اس والے فون میں بھائی اپ کو ایکزی نوز کا تیرا پیس کا پروسیسر مل جاتا ہے یہ لیٹیسٹ پروسیسر ہے سامسنگ کا اینڈ فائیو نیم بیس پریسر ہے اور اس کے اندر اسکور بھائی 4 لاکھ کے پلس جاتی ہے اور یہاں پہ پرفارمنس بھائی کافی تگڑی اپ کو دیکھنے کو ملے گی اس والے فون میں تو جیسے بھائی یوتوب پہ اپ ایڈ اسکیپ کرتے ہونا ویسا ہی بھائی ٹک کریٹر اس کی ڈسپلے کو اسکین کر دیا ہے اس میں کوئی 90 ہاٹس کی فل ایچ ڈی پلس پی ایل سی ڈسپلے ملتی ہے بس یہی بتا کر بھائی صاحب ڈسپلے میں برائٹنیس کتنی ہے کونسا پروٹیکشن ہے اینڈ گائز اور بھی بہت کچھ ہوتا ہے ہم اپ کو بتائیں گے کمیو والی پارٹ میں تو بھائی ویٹ کرو اب,4,8,"[1, 13, 23, 33]","[2, 23, 36, 36, 61, 63, 66, 75]",1,85,34,10,9,"(1, 40.0)","[0, 9, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
71.35,@Mobile2-NG.wav,کالڈ ہو چکا ہے کنٹرول ہونا چاہیے تھا اس والے فون میں جو کہ نہیں ہے یار اینڈ گائز سب سے بڑی بات سنگل اسپیکر ہے بھائی ڈول اسپیکر نہیں دے رہا کہ بھائی اور بھائی اس والے فون میں ون یو ائی کا پولیس اسکین بھی نہیں ہے فنی وائی کا کوڈ ریڈیسن دے رہا ہے جو کہ فنی وائی کا تھوڑا سا لائٹر یو ائی ہے اینڈ گیس اس میں اپ کو کچھ لمیٹڈ ہی فیچر دیکھنے کو ملتا ہے ایسا مطلب سستے بھائی برا مت ماننا لیکن کہنے کی بات ہے کر دے رہا ہوں سستے لوگوں کے لئے سستی ہوا یہ سمجھے تو مطلب سمجھ میں ارہا ہے نہ جو سامسنگ کے فلیکسی فون ہوتے جو زیادہ پیسہ دے رہے ہیں ان لوگوں کو بھائی اچھی یو وائی ملتا ہے میں کلیئر کٹ اوپینین ہوں تو سامسنگ والے بھائی دو تین چیز کے لیے پیسہ لے رہے ہیں پہلے دو بھائی ڈیزائن دوسرا بھائی اس کا پروسیسر تیسرا بھائی کہہ سکتے ہو 50 میگا پکسل کا کیمرہ ہو سکتا ہے باقی جو اپڈیٹ کا پرومس کر رہا ہے وہ اپڈیٹ کے لیے بھی یہ لوگ پیسہ لے رہے ہیں اور ہاں یہ اپنے برانڈ ولیوں کے اوپر بھی پیسہ لے رہے ہیں تو ہاں بھائی ٹھیک ہے تو وہ اتنا کر ہی سکتا ہے تو ائی تھنک سب کچھ کلیئر ہو گیا ہوگا اب اپ کو جو بھی من کر رہا ہوگا ویڈیو کو لائک کرنے کا سبسکرایب کرنے کا یا پھر بیل نوٹیفیکیشن کو توڑ پھوڑ کے جو بھی کرنا ہوگا کر دیجئے گا سمجھے ہو جائے گا نہ چلو ٹھیک ہے پھر ملتا ہے کسی اور سے ویڈیو میں تب تک کے لئے بائے بائے میرے,13,5,"[4, 8, 12, 22, 22, 23, 25, 26, 29, 31, 37, 63, 67]","[26, 33, 51, 53, 67]",1,71,34,13,16,"(1, 47.88732394366197)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 1, 0, 0]"
87.47,@Social_1NG.wav,اس سے کوئی فرق نہیں پڑتا کہ اپ امیر ہے اور غریب ہیں اپ بورے ہیں سامنے ہیں اپ کو اپنی عزت خود کرنی پڑے گی جب اپ اپنی عزت خود کرتے ہیں تو ظاہر ہے کہ اپ کوشش بھی کرو گے تو یہ پیغام اپ کے سب کانشیئس میں چلا جائے گا لاشعور میں پھر لاشعور اپ کی جو باڈی لینگویج ہے اس کو امپروو کرنا شروع کر دیتا ہے اپ کے اندر خود اعتمادی انا شروع ہو جاتی اب چند ایک چیزیں جو کہ اس رسپکٹ کو خراب کرتی ہیں اس میں اپ کو بڑا سوشل مچ کہ وہ کرنا چاہیے ان میں کیا کیا ہے مثلا یہ کہ ہم عام طور پے جب محفل میں بیٹھے ہوتے ہیں لوگوں میں بیٹھے ہوتے ہیں تو اپنا مفت میں مذاق اڑاتے ہیں جس سے اچھا خاصا ہمارا اسٹیٹس ہوتا ہے اور ہم لو ہو جاتے ہیں کس طرح مثلا اگر اپ کو لطیفہ سنانا نہیں اتا تو اللہ کے واسطے نہ سنائیں یہ لطیفہ سنانا بھی ایک اٹا ہے ایک اچھا سا لطیفہ سنائیں گے لطیفے کے بعد کوئی ہنسے گی ہی نہیں اپ کی بے عزتی ہو جانی ہے تو بہتر ہے نہ ہی سنائیں اسی طرح میں نے دیکھا ہے شادیوں پہ اچھے خاصے اپ پڑھے جج ہیں وکیل میں ڈاکٹر ہیں دانت صاحب کو اتا نہیں ہے سب نے کہا تم بھی اجاؤ,10,9,"[2, 5, 35, 44, 50, 60, 62, 71, 75, 85]","[3, 8, 12, 25, 50, 52, 66, 74, 79]",1,87,5,37,45,"(0, 51.724137931034484)","[0, 0, 0, 0, 0, 0, 0, 9, 0, 9]","[0, 9, 0, 0, 0, 0, 0, 0, 1]"
74.72,@Social_2N.wav,الٹی سیدھی بازو ٹانگیں مارنا شروع کر دیتے ہیں پیپل بینک ائی ڈونٹ سے کہ اپ کی بہت قریبی رشتہ دار ہوں تو اپ لیکن اگر اپ کو کرنا بھی ہو تو پھر اسے ہفتہ کریں اوور ہونے کی ضرورت نہیں ہے ہمارے یہاں پھر نہ وہ ہوتا ہی ہے کہ لوگ تالیاں بجانا شروع کر دیتے ہیں اور اپ شو میں اجاتے ہو اپ کا جو مطلب سوچنے کو ٹھیک ہے میں غلط نہیں کر رہا لیکن ایک حد سے تجاوز کر دیا ہے تو اپ کا پھر اسی طرح اپ پولیٹیکل گفتگو کر رہے ہوتے ہو اکنامکس سے کر رہے ہوتے ہو 100% اپ کلیئر نہیں ہوں ڈونٹ گو نوکسان ہوتا ہے کیونکہ وہ پھر اپ کی بات کو بھی ریٹل کرے گا اپ کے سیانی ہو جائیں گے ظاہر ہے پھر اس سے بھی امپورٹنٹ چیز جو میں سمجھتا ہوں اور میں اس کو خود تو بہت زیادہ استعمال کرتا ہوں کہ کسی کو مشورہ مانگے بغیر مشورہ نہ دے ہماری عادت ہوتی ہے نہ بعض اوقات کوئی کسی کا کام ہوتا ہے وہ کسی اور سے بات کر رہا ہوتا ہے اپ نے مشورہ دے دیتی ہیں وہ اگر اپ کا بہت لحاظ سے,14,1,"[0, 9, 15, 17, 28, 28, 29, 30, 41, 52, 57, 61, 63, 66]",[27],1,74,5,33,36,"(0, 48.64864864864865)","[0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0]
70.19,@Social_P.wav,کل لے گا اور پھر اپ کو کوئی ایسا معقول جواب نہیں دے گا تو وہ بھی ایک بے عزتی کا باعث بنتی ہے اور تو اس طریقے سے اچھا اب ایک اور بڑا امپورٹنٹ پہلو ہے یہ میں لڑکیوں اور عورتوں کے حوالے سے کہتا ہوں اگر اپ کی شادی ہو جاتی ہے اپنی سسرال کی برائی نہ کریں اگر اپ لوگوں میں بیٹھ کے اپنے سسرال کی برائی کریں گے تو یعنی اپ یہ ثابت کر رہے ہیں کہ مجھے بڑی بری طرح ٹریٹ کیا جا رہا ہے اور اگر اپ کو بری طرح ٹریٹ کیا جا رہا ہے تو اگلا بندہ پھر اپ کو سر پر نہیں بٹھائے گا ملکہ نہیں بنائے گا وہ کہے گا یہ تو الریڈی دھکے کھا رہی ہے اسٹیٹس ہاں اس کو ڈیل کرنے کے طریقے انے چاہیے لیکن پبلک لوگوں کو بتانے کی ضرورت نہیں ہے اسی طرح اپ نے میاں کی برائی نہ کرے کیونکہ ہمارے ہاں تو لوگوں کو داستانیں سننے کا چسکے لینے کی عادت ہوتی ہے نا یہ اپ کی ذاتی پرائیویٹ لائف ہوتی ہے اپ اپنی اولاد کی برائی نہ کریں اپ اولاد کی اپنی برائی کریں گی بیٹی کی برائی کریں گے,10,3,"[4, 21, 30, 34, 39, 41, 49, 51, 55, 66]","[4, 11, 27]",1,70,6,29,35,"(0, 50.0)","[0, 0, 0, 9, 9, 0, 0, 0, 0, 0]","[0, 0, 0]"
60.51,@Social_4P.wav,صوفی ہمارے ہوتے ہیں نہ بازو کو نکل اتا ہے بیچ میں تو ضرورت نہیں ہے کہ اس کا اپ ایڈورٹائزمنٹ کریں اپ جو کرنے والے کام ہیں اس کو ٹھیک کریں نصیحت کریں دنیا کے سامنے وہ ہوگا کیا کہ اس بیٹے کی لوگوں نے بھی برائی کرنی ہے وہ برائی پھر الٹ کی اپ کے پاس ائے گی کہ تربیت اپ کی بری ہے تو اس لیے یاد رکھیں کہ زندگی میں اپ اپنی عزت کرنا یہ اصول اگر اپ اپنے اوپر لاگو کریں گے اب دیکھئے گا کہ مطلب جس حد تک ممکن ہو سکتا ہے لوگ اپ کا احترام بھی کریں گے خواہ مخواہ کا ہنسنا خواہ مخواہ کا ایک ہوتا ہے شو کرنا یہ ساری چیزیں اپ کو لو ڈاؤن کرتے ہیں اوکے تھینک یو,8,4,"[2, 7, 13, 15, 25, 30, 44, 58]","[14, 36, 39, 48]",1,60,6,23,29,"(0, 48.333333333333336)","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 9, 9]"
83.36,@Police_ALL_1N.wav,کہ ہمیں یہاں پے سب سے بڑا ایشو اتا ہے وہ ڈاؤن لوڈ کرتے ہیں پاکستان میں کچھ بھی ہو جائے تو الٹیمیٹ اسلام اباد میں لوگوں نے انی ہے ہم کبھی بھی اس میں پینک نہیں کرتے ہم ان کو ویلکم کرتے ہیں کہ ہم ان کے جو مطالبات ہیں جو ایشوز ہوتے ہیں ان کو صرف ایک ہی ڈیمانڈ ہے بات کریں گے مطالبات تسلیم کروائیں گے ان کی جتنی باتیں ہیں وہ سنی جائے ریکویسٹ جب ان کی جینون چیزوں کو مانتے ہیں اگر وہ بات اسے ڈپلومیٹ کر دیتے ہیں کہ یہ خدانخواستہ کہیں گے بہت بہت کم ہوتا ہے ہم نہیں کرنے دینے کے لیے ڈسٹرکٹ کریں اسلام اباد سرسید علی رضا السلام علیکم سر انٹروڈکشن اباؤٹ یور پرائمری رسپانسیبلیٹی کے ایک اسلام اباد کا ڈی ائی جی اپریشن کیا کیا کرتا ہے اس میں موبائل ارڈر کرتا ہے سب سے,5,1,"[7, 21, 33, 58, 61]",[35],2,83,7,48,26,"(2, 57.831325301204814)","[9, 0, 0, 0, 0]",[0]
65.09,@Police_ALL_N.wav,کام ہے اس میں ہمارے پاس اے ار یو ہے اینٹی رائٹ فورس ہے جو ٹرینڈ ہوتے ہیں اس کے بعد انویسٹیگیشن ساری کرتے ہیں جتنی کیسز ہمارے پاس اتے ہیں تو انویسٹیگیشن بھی اسلام اباد ڈی ائی جی ہی دیکھ رہا ہے اور اس کے نیچے پورا پورا ڈے ٹو ڈے ایشوز ہیں وہ ہینڈل کر رہے ہوتے ہیں تو ایس ایچ اوز اور انچارج انویسٹیگیشن سو اپریشنز انویسٹیگیشن ارڈر اینڈ سکیورٹی اور سب سے امپورٹنٹ جو اسلام اباد پوائنٹ اف ویو سے ہے وہ ٹریفک سو ایم سی لوکینگ اف ٹو ٹریفک ٹریفک اور یہ 4 مین ہیڈز ہیں جو میں دیکھ رہا ہوں ایز اسلام اباد کے پروٹیسٹ اینڈ پروٹیسٹ کا جو ٹرینڈ ہے وہ انکریز ہوتا جا رہا ہے پاکستان میں ہے وہ ایک موب میں بدل جاتا ہے کہ اپ اس طرح کے موکو کیسے مینیج کرتے ہیں,2,0,"[0, 5]",[],1,65,10,14,41,"(0, 63.07692307692307)","[0, 0]",[]
92.04,@Police_ALL2_N.wav,اس کے لئے اسپیشل انیشیٹو یا کچھ اسپیشل ٹیکنیکس جاب یوز کرتے ہیں اسلام اباد پولیس کا ایک بہت ہی امپورٹنٹ اور بہت ہی اپ ایسے سمجھیں گے دکھتی رگ ہے کیونکہ ہمیں یہاں پے سب سے بڑا جو ایشو اتا ہے وہ ڈاؤن لوڈ کرتے ہیں پاکستان میں کچھ بھی ہو جائے تو الٹیمیٹ اسلام اباد میں لوگوں نے ویلکم بیک نہیں کرتے ہم ان کو ویلکم کرتے ہیں اس کی مختلف اسٹیجز ہیں پہلی سٹیج یہ ہے کہ مجھ سے چور میں رہتے ہیں ہماری سیلف ہیں اور میرے ایس ایچ اوز ایون انچارجز ایس ڈی پی او ایس پی ایس وہ بڑے اس میں ٹرینڈ ہے اس میں ہمیں یہ فائدہ ہوتا ہے کہ ہم ان کے جو مطالبات ہیں جو ایشوز ہوتے ہیں ان کو کرتے ہیں الٹیمیٹلی ہم ان کو پھر اگے کنوے کرتے ہیں گورنمنٹ کو کرتے ہیں جو بھی کوارڈینٹ کنسرن ہوتے ہیں ان کو ہم ریکویسٹ کرتے ہیں کہ یہ ان کے مطالبات ہیں اس میں جو جائز مطالبات ہوتے ہیں تو یہ پہلی سٹیج ہے جو 90 ٹیسٹ کو ختم کردیں اور وہ نیگو سے ہوتا ہے کیونکہ ہمارے انر ایبل جو ائی جی اسلام اباد ہیں جناب سید علی ناصر رضوی صاحب اور صاحب محسن نقوی صاحب ان کا بڑا اسٹینڈنگ ارڈر ہے ہمارے لئے کہ کسی بھی قسم کے ٹیسٹ کے ساتھ اپ نے یوزر فورس از دا لاسٹ اپشن کہتے ہیں یہ ہمارے اپنے لوگ ہیں ہمارے پاکستانی کسی وجہ سے اتے ہیں ان سے صرف ایک ہی ڈیمانڈ ہوتی ہے کہ ایک تو,4,7,"[16, 23, 64, 89]","[1, 3, 26, 41, 60, 79, 90]",2,92,8,47,37,"(2, 51.08695652173913)","[0, 0, 0, 0]","[0, 9, 0, 9, 0, 0, 0]"
93.11,@Police_ALL4_N.wav,چیزیں نہ توڑیں رورس بلاک نہ کریں دوسرے لوگوں کے لیے ضرور کریں وہ بالکل ان کا ہوتا ہے الٹیمیٹلی اگر وہ موبائل اس سے اگلی سٹیج پر جاتا ہے بات نہیں سنتے تو اگین وہ ہم چینل اس کا بالکل کھلا رکھتے ہیں وہ ہم کرتے رہتے ہیں ساتھ میں ہم اپنی ڈپلومیٹ بھی کر دیتے ہیں ڈپلومیٹ کا مقصد ہوتا ہے جیسے میکڈونلڈ کو ہم نے چلتے بھی رکھا اور مکڈونلڈ کے اندر نہیں ہے لیکن الٹیمیٹلی ہم نے ان کو بات چیت بھی کی تو تھوڑا بہت ہم نے ان کے ساتھ جو بھی کوئی فوج کا یوز بھی کر کے اپنے وہاں سے اس کو ریمو کیا یہ اسلام اباد کے لیے فور شور ہے ہم نہیں کرنے دیں گے کہ وہ ڈسٹرکٹ کریں اسلام اباد کو بات کریں گے مطالبات تسلیم کروائیں گے جو ان کے جائز بنتے ہیں ان کی جتنی باتیں ہیں وہ سنی جائیں گی یہ بالکل انشور کریں گے ہم کروائیں گے وہ ہماری ساری بات سنتے ہیں اور سارے لوگ ہماری بات مانتے ہیں ریکویسٹ جب ان کی جینون چیزوں کو مانتے ہیں نمبر 2 اگر وہ بات اس سے اوپر جاتی ہے تو ہم پریونٹیو ایک ڈپلومیٹ کر دیتے ہیں کہ یہ خدانخواستہ نہیں ادھر گھسنا نہ شروع ہو جائے وہ ہم کر دیتے ہیں وائلٹ بورڈ بہت کم ہوتا ہے اور اس میں بہت ساری چیزیں ہوجاتی ہیں یہ جو دو پہلے اسٹیجز ہیں نا جب اپ شو خورش کرتے ہیں تو لوگوں کو پتہ لگ جاتا ہے اپ کی انٹینشن کا کہ یہ سیریس ہے وہ سب لوگ سمجھ جاتے ہیں وہ تو ایجنڈا کے ساتھ ایا ہو تو وہ جھنڈا کے ساتھ جو ائے گا تو بالکل جو خدانخواستہ کریمینل ایکٹیویٹی میں اجائے جو اپ کی کسی چیز کو توڑ پھوڑ کر دے لوگوں کو تنگ کرنا شروع کردے روڈ بلاک کر دے,18,3,"[1, 2, 5, 10, 12, 23, 24, 36, 37, 47, 62, 63, 63, 67, 85, 89, 89, 91]","[19, 43, 58]",2,93,1,63,29,"(2, 67.74193548387096)","[0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 0, 0, 0, 0, 9, 0]","[0, 0, 0]"
97.76,@Police_ALL5_N.wav,کوئی مسئلہ بن جائے اس کو پھر ہمارے پاس ویو کال ٹیکنیکس وہ ٹیکنیکس کیا ہے وہ ہے ٹریننگ کرتی رہتی ہے ان کے پاس شیلڈز ہیں ان کے پاس بٹنز ہیں ان کے پاس ہیلمٹس ہیں ان کے پاس ٹیئر گیس ہے ان کے پاس واٹر کینن ہیں ان کے پاس وہ ساری چیزیں موجود ہیں جو کسی بھی جو موبائل ہے جو وائیلنٹ موبائل ہے یا وہ جو کنٹرول نہیں ہو رہا ہے اس کو ہینڈل کر لیتے ہیں جب ہمیں یہ پتہ چل جائے کہ کریمنلز ہیں یا برے لوگ ہیں پھر ہم بالکل جان دینے کے لئے تیار ہو جاتے ہیں اور ہماری جو پرے نے پہلے کہا کہ ہماری کمانڈ کی جو ہے وہ یہ کہ ہماری یہی ہے کہ ہم نے یوز اف فورس نہیں کرنا اور ہم نہیں کرتے اب یہ ڈی چوک میں تھے سینیٹر مشتاق صاحب بیٹھے ہوئے تھے اسے ہم ہر اس بات کرتے تھے میں رات کو جا کے بات کروں گا اسپیکر ہے ڈی ایس پی کر رہا ہے ایون ڈی سی صاحب جا کے کر رہے ہیں کل انھوں نے اس کو ختم کیا کیونکہ وہ غذا کے لیے بیٹھے ہوئے تھے یقینا ہم ان کے ساتھ ہیں لیکن ان کا وہ کوئی زیادہ ٹائم لے گئے میکڈونلڈز والا انسیڈنٹ تھا تو ہم دیکھتے ہیں کہ انٹرنیٹ پر اور پھر جہاں پر لوگ ایپریشیٹ کرتے ہیں وہاں پر لوگ کریٹس سائز بھی کرتے ہیں جب میڈیا کی مینجمنٹ ہے ریکارڈنگ دا رول اف پولیس جاب اف پولیس اس کو اپ کس طریقے سے,10,1,"[1, 27, 35, 37, 37, 50, 52, 71, 77, 79]",[39],1,97,3,45,49,"(0, 50.51546391752577)","[0, 0, 0, 0, 0, 0, 0, 0, 0]",[9]
78.16,@Police_ALL_6N.wav,کے دور میں جو جیسے سوشل میڈیا ڈویلپ ہو رہا ہے اور یہ ایک اپنی اسپیس لے رہا ہے تو بہت امپورٹنٹ چیز ہو گئی ہے تو اسسٹنٹ واٹ از رئیلیٹی کیونکہ لوگ اتنے ہیں وہ فریم پلیٹ ٹویٹ کر دیتے ہیں پہلی بات تو یہ کہ جب بھی ہم اس طرح کے ایکشن کرتے ہیں تو پولیس میں جب بھی کوئی فوری بورس کوئی چیز ہوتی ہے ہر بندے کا اپنا اوپینین ہے کوئی ایشو نہیں کیونکہ ہر بندے کو یہ سمجھنا چاہیے کہ بگر گڈ کے لیے ایک بگڑ ویلفیئر کے لیے اسلام اباد و ہیو ٹو سم ٹائم یوز فورس اگینسٹ 23% کروں گا پبلک سے سپورٹ کریں یہ اپ کی گڈ کے لیے ہے یہ اپ کے لئے ہے اپ ہمارے ساتھ بات کریں کسی کو کوئی ڈاؤٹ ہو کے یہاں کیا ہوا میرے ساتھ بات کریں میرا نمبر سوشل میڈیا پر ہے میرا پرسنل نمبر بھی ہے میرا افیشل نمبر دونوں نمبر موجود ہے اویلیبل ہوں 247 رات تین چار بجے تک ہم جاگ رہے ہیں ہم اویلیبل ہیں اب مجھے میسج کریں گے اس کا اپ کو جواب ائے گا اور اپ کو پورا ہم انٹرٹین کریں لوگوں سے صرف یہ ریکویسٹ ہے کہ جب بھی اپ کی پولیس ہے ہم اپ کے لئے ہیں تو وائی نوٹ کے اپ ہمارے ساتھ کنکشن میں ہم سے پوچھیں تو سہی کہ کیا کیا میں نے اپ کی حفاظت کے لئے ہے میکڈونلڈ,5,5,"[8, 21, 22, 25, 65]","[2, 36, 45, 53, 57]",2,78,4,54,20,"(2, 69.23076923076923)","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
